Terreno,P1_Frecuencia,P1_RMS,P2_Frecuencia,P2_RMS,Frecuencia,RMS/Tension
arepas_circulo,9.66,8.33,9.56,5.5,5,68.42
arepas_recto,9.61,8.58,9.45,8.25,5,70.32
arepas_zigzag,9.61,7.05,9.4,3.34,5,57.05
lomas1_libre,9.66,15.37,9.35,15.24,5,124.83
lomas2_libre,6.18,18.06,9.35,12.07,5,143.84
lompend_libre,9.66,16,9.33,28.298,5,140.78
pasto_circulo,6.3,6.51,9.3,4.66,5,54.35
pasto_recto,9.61,6.42,9.3,5.05,5,53.79
pasto_salto,9.67,16.51,9.35,16.76,5,116.59
pasto_zig,6.14,8.53,9.35,8.69,5,72.95
pav_circulo,6.14,4.15,9.45,3.35,5,35.3
pav_pend_suave,6.11,4.73,9.3,4.47,5,41.11
pav_recto,9.77,4.16,9.3,7.16,5,38.8
pav_salto,9.66,18.52,9.35,23.87,5,123.73
pav_zigzag,6.14,5.44,9.3,6.56,5,47.25
PisadaVaca_circulo,9.62,32.3,6.13,11.73,5,255.07
PisadaVaca_libre,9.62,30.62,9.33,14.37,5,246.62
PisadaVacaRecto,9.35,35.98,6.13,13.96,5,273.05
PisaVacaZigZag,10.61,27.95,6.24,13.35,5,265.47
Ripi_circulo,10.48,9.49,9.33,4.74,5,83.48
Ripi_salto,9.62,20.1,9.33,22.5,5,139.77
Ripi_zigzag,6.13,13.67,9.33,18.01,5,123.82
Rotonda,10.38,8.05,9.75,7.34,5,83.35
Via_1,6.13,13.38,9.33,11.312,5,112.25
Via_2,6.13,11.46,9.33,11.11,5,101.77
Via_circulo,9.33,10.52,9.33,9.03,5,95.8
Via_zigzag,13.02,12.22,9.33,6.34,5,130.85
Ripi_Pend_Gran_Circulo,6.13,10.21,9.33,6.97,5,85.06
rip_pend_gran_recto,9.62,15.87,9.33,15.87,5,124.2
rip_pend_gran_zigzag,9.62,17.88,9.33,17.49,5,141.01
